Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,Feedback_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS,Utilidad_Dolares,SKU_Prefijo
TRX-10000,PROD-3619,25/04/2025,0,1752.48,52.36,15.0,Entregado,Bucaramanga,Físico,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-11401,4.0,1.0,dañado,SI,Sí,31.0,81.7,-52.36,PROD-36
TRX-10001,PROD-1456,29/07/2025,12,686.88,67.16,29.0,Entregado,Ventas_Web,WhatsApp,Laptop,1935.0,245.14,115.0,10.0,Norte,2025-11-16,FB-9547,3.0,1.0,sin comentario,NO,Sí,40.0,-45.6,5233.719999999999,PROD-14
TRX-10002,PROD-1102,31/05/2025,2,402.06,32.55,13.0,Perdido,Medellín,Físico,Tablets,1180.0,722.77,203.0,3.0,Norte,2025-05-16,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-673.9699999999999,PROD-11
TRX-10003,PROD-2126,23/01/2026,4,665.98,62.64,12.0,Perdido,Medellín,Online,Accesorio,856.0,1288.22,261.0,3.0,Zona_franca,2024-09-04,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-2551.6,PROD-21
TRX-10004,PROD-2003,09/10/2025,5,1222.62,52.91,15.0,Entregado,Bogotá,App,Laptop,1399.0,839.17,193.0,30.0,Bod-ext-99,2025-09-02,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,1864.34,PROD-20
TRX-10005,PROD-1914,05/11/2025,2,740.61,25.63,29.0,Retrasado,Medellín,Online,Accesorio,1544.0,440.28,178.0,10.0,Bod-ext-99,2024-03-17,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,575.0300000000001,PROD-19
TRX-10006,PROD-1571,20/06/2025,12,1349.06,30.32,23.0,No especificado,Bogotá,Físico,Smartphone,1618.0,1496.74,292.0,10.0,Norte,2025-07-30,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-1802.4800000000016,PROD-15
TRX-10007,PROD-1419,18/11/2025,8,481.5,21.21,13.0,Perdido,Cali,App,Laptop,430.0,479.1,207.0,10.0,Bod-ext-99,2024-05-06,No Encuestado,0.0,0.0,Sin Registro,Sin Registro,Sin Registro,50.0,0.0,-2.0100000000001828,PROD-14
TRX-10008,PROD-3771,03/11/2025,1,1404.98,10.38,6.0,No especificado,Medellín,App,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-8195,2.0,2.0,sin comentario,NO,No,28.0,-13.4,635.62,PROD-37
TRX-10008,PROD-3771,03/11/2025,1,1404.98,10.38,6.0,No especificado,Medellín,App,Otro/Desconocido,0.0,758.98,0.0,0.0,BODEGA_DESCONOCIDA,1900-01-01,FB-9910,2.0,2.0,sin comentario,SIN RESPUESTA,No,53.0,75.7,635.62,PROD-37
