Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS
FB-8000,TRX-17461,99,4,N/A,N/A,Sí,195,-17.5
FB-8001,TRX-17755,4,5,---,Maybe,Sí,59,-41.7
FB-8002,TRX-10534,3,4,No volvería,Maybe,0,84,-36.4
FB-8003,TRX-12569,2,3,---,N/A,Sí,20,7.4
FB-8004,TRX-19159,4,2,Dañado,SI,No,83,61.0
FB-8005,TRX-16051,5,3,---,SI,Sí,77,95.0
FB-8006,TRX-11945,1,1,Precio justo,N/A,Sí,46,63.4
FB-8007,TRX-19856,3,4,Precio justo,N/A,0,24,-22.0
FB-8008,TRX-16694,1,4,Lento,NO,No,21,75.1
FB-8009,TRX-11807,1,4,No volvería,NO,No,67,64.8
FB-8010,TRX-11980,1,5,No volvería,NO,Sí,38,82.4
FB-8011,TRX-16055,5,5,---,N/A,1,26,-86.9
FB-8012,TRX-19367,2,3,---,Maybe,1,77,-29.3
FB-8013,TRX-14744,4,2,Lento,N/A,0,29,-90.7
FB-8014,TRX-10659,5,1,No volvería,N/A,No,73,-35.7
FB-8015,TRX-18565,2,2,No volvería,N/A,0,22,-43.9
FB-8016,TRX-12511,3,2,N/A,N/A,1,80,82.1
FB-8017,TRX-11929,4,1,Precio justo,SI,Sí,44,89.0
FB-8018,TRX-16086,2,5,Excelente,N/A,0,66,39.0
FB-8019,TRX-14995,3,4,Dañado,SI,0,37,-43.4
FB-8020,TRX-16135,4,5,Dañado,N/A,Sí,46,-98.6
FB-8021,TRX-14968,3,4,Excelente,Maybe,0,53,34.1
FB-8022,TRX-14816,5,4,Dañado,Maybe,Sí,25,-0.1
FB-8023,TRX-17961,3,5,Excelente,SI,0,47,-58.5
FB-8024,TRX-10458,1,2,No volvería,NO,No,78,-64.8
FB-8025,TRX-12340,5,4,Lento,NO,1,18,12.0
FB-8026,TRX-12328,3,5,N/A,NO,1,52,-73.9
FB-8027,TRX-19660,5,2,No volvería,NO,0,63,9.8
FB-8028,TRX-16910,4,1,---,NO,No,35,83.2
FB-8029,TRX-10797,1,4,Lento,NO,No,72,58.3
FB-8030,TRX-14999,1,2,---,N/A,Sí,48,88.3
FB-8031,TRX-14644,3,4,Excelente,SI,1,81,-50.3
FB-8032,TRX-13532,4,2,---,N/A,1,37,90.4
FB-8033,TRX-12999,5,1,No volvería,Maybe,0,46,-5.0
FB-8034,TRX-18008,3,4,---,SI,1,60,26.1
FB-8035,TRX-10034,2,5,Excelente,SI,No,72,-41.2
FB-8036,TRX-12004,3,2,N/A,Maybe,Sí,47,98.8
FB-8037,TRX-18970,2,1,N/A,NO,No,50,-12.4
FB-8038,TRX-15712,1,4,---,NO,Sí,35,-62.5
FB-8039,TRX-11106,3,1,Precio justo,Maybe,1,66,14.8
FB-8040,TRX-10732,3,1,---,N/A,0,70,-48.9
FB-8041,TRX-16841,1,4,N/A,N/A,Sí,68,-12.8
FB-8042,TRX-17883,5,4,N/A,SI,Sí,27,-58.4
FB-8043,TRX-19389,3,2,Excelente,N/A,Sí,82,-22.6
FB-8044,TRX-15074,4,5,N/A,N/A,1,45,-81.5
FB-8045,TRX-19269,1,1,No volvería,N/A,No,35,-43.0
FB-8046,TRX-17411,5,4,Lento,Maybe,Sí,78,-50.2
FB-8047,TRX-15534,1,1,Precio justo,SI,Sí,26,89.5
FB-8048,TRX-16181,1,2,No volvería,Maybe,No,77,18.5
FB-8049,TRX-17786,5,2,No volvería,N/A,No,43,-94.7
FB-8050,TRX-19923,5,2,No volvería,Maybe,1,60,82.7
FB-8051,TRX-12175,5,5,---,SI,1,50,28.9
FB-8052,TRX-12269,4,3,Precio justo,NO,1,37,-32.6
FB-8053,TRX-18270,2,3,No volvería,SI,No,33,-26.7
FB-8054,TRX-17551,1,3,N/A,N/A,0,49,-93.7
FB-8055,TRX-17371,3,5,Lento,N/A,No,28,94.9
FB-8056,TRX-17357,2,5,N/A,SI,No,79,72.1
FB-8057,TRX-12440,3,1,No volvería,NO,0,43,-86.9
FB-8058,TRX-15328,3,1,Dañado,NO,1,18,36.3
FB-8059,TRX-11463,3,2,Excelente,NO,0,29,-10.2
FB-8060,TRX-16711,4,5,---,SI,Sí,74,61.7
FB-8061,TRX-16344,4,3,Dañado,N/A,No,67,24.7
FB-8062,TRX-13814,2,3,N/A,N/A,No,36,-17.4
FB-8063,TRX-16478,5,1,Lento,N/A,0,22,-12.7
FB-8064,TRX-15554,4,2,Lento,Maybe,0,48,30.3
FB-8065,TRX-18863,1,2,Excelente,N/A,Sí,39,30.9
FB-8066,TRX-10750,2,4,Lento,NO,1,83,11.5
FB-8067,TRX-17259,1,5,Lento,Maybe,Sí,21,76.8
FB-8068,TRX-14544,3,3,No volvería,SI,Sí,47,55.9
FB-8069,TRX-11450,1,3,Excelente,NO,No,40,-76.3
FB-8070,TRX-12713,4,1,---,SI,No,75,74.4
FB-8071,TRX-10406,1,1,Dañado,N/A,No,38,-59.6
FB-8072,TRX-19371,3,5,No volvería,Maybe,No,71,90.1
FB-8073,TRX-15060,3,1,No volvería,SI,Sí,76,61.5
FB-8074,TRX-19192,4,1,Dañado,NO,No,24,81.8
FB-8075,TRX-12028,2,3,Lento,NO,1,63,35.3
FB-8076,TRX-19164,5,5,Precio justo,SI,No,80,30.3
FB-8077,TRX-11395,2,3,---,N/A,0,56,-50.2
FB-8078,TRX-13152,5,3,N/A,Maybe,No,84,25.2
FB-8079,TRX-18877,4,1,---,N/A,No,84,-16.0
FB-8080,TRX-19451,4,3,Precio justo,N/A,Sí,58,-69.3
FB-8081,TRX-10866,4,5,N/A,N/A,Sí,49,-28.0
FB-8082,TRX-19342,3,1,---,SI,0,53,32.4
FB-8083,TRX-18548,2,5,Lento,N/A,0,20,75.1
FB-8084,TRX-13103,5,2,---,SI,Sí,73,-12.4
FB-8085,TRX-17796,2,5,No volvería,NO,Sí,30,-42.0
FB-8086,TRX-18235,5,5,Dañado,NO,No,66,-67.8
FB-8087,TRX-10305,1,4,Precio justo,NO,Sí,84,-19.4
FB-8088,TRX-11970,2,5,No volvería,SI,0,64,-43.1
FB-8089,TRX-18713,1,3,Precio justo,SI,Sí,41,-10.6
FB-8090,TRX-12944,4,3,Dañado,Maybe,1,57,-79.9
FB-8091,TRX-10310,3,1,No volvería,N/A,0,41,47.1
FB-8092,TRX-14504,3,2,---,SI,1,74,-99.1
FB-8093,TRX-13371,2,1,---,SI,0,41,39.9
FB-8094,TRX-14018,1,5,Excelente,N/A,Sí,80,-38.7
FB-8095,TRX-19495,1,5,No volvería,Maybe,0,36,-28.2
FB-8096,TRX-17278,5,3,Excelente,N/A,0,79,-65.8
FB-8097,TRX-11386,2,5,Lento,N/A,Sí,47,93.6
FB-8098,TRX-18741,2,5,Dañado,NO,0,82,-89.4
FB-8099,TRX-19942,1,3,Precio justo,NO,Sí,19,-43.4
FB-8100,TRX-15249,1,2,Lento,N/A,No,23,-70.6
FB-8101,TRX-16583,3,5,Lento,Maybe,Sí,81,-3.5
FB-8102,TRX-19648,2,4,N/A,Maybe,0,27,12.0
FB-8103,TRX-10737,3,2,N/A,Maybe,1,41,-60.7
FB-8104,TRX-18052,4,2,No volvería,SI,Sí,20,31.1
FB-8105,TRX-10381,4,3,No volvería,NO,Sí,64,10.5
FB-8106,TRX-15569,1,1,N/A,Maybe,Sí,64,68.4
FB-8107,TRX-17160,5,5,N/A,SI,Sí,73,81.3
FB-8108,TRX-12957,1,5,Excelente,N/A,1,70,38.9
FB-8109,TRX-16798,2,1,Excelente,N/A,Sí,67,26.1
FB-8110,TRX-10394,1,5,Lento,N/A,1,33,21.1
FB-8111,TRX-18649,3,4,Lento,NO,1,21,-66.6
FB-8112,TRX-15199,1,1,No volvería,SI,Sí,28,76.6
FB-8113,TRX-16258,3,3,No volvería,N/A,0,41,-28.0
FB-8114,TRX-14213,4,1,---,Maybe,No,48,38.3
FB-8115,TRX-11491,3,2,---,Maybe,1,67,-11.9
FB-8116,TRX-11878,2,3,Precio justo,Maybe,0,49,80.6
FB-8117,TRX-11627,1,2,Dañado,Maybe,No,76,-18.5
FB-8118,TRX-18876,2,3,Precio justo,N/A,Sí,29,12.0
FB-8119,TRX-12755,3,1,Dañado,Maybe,0,34,-62.5
FB-8120,TRX-14675,3,2,Lento,Maybe,No,19,10.8
FB-8121,TRX-12359,3,3,No volvería,N/A,0,56,-59.5
FB-8122,TRX-12992,3,5,Precio justo,SI,Sí,67,58.9
FB-8123,TRX-14187,3,2,N/A,N/A,No,68,-26.5
FB-8124,TRX-11468,1,4,Dañado,NO,0,48,-15.1
FB-8125,TRX-12526,5,3,---,NO,No,42,28.1
FB-8126,TRX-15026,2,5,N/A,N/A,Sí,74,-82.8
FB-8127,TRX-16672,4,5,N/A,NO,0,45,-37.0
FB-8128,TRX-12772,4,1,Excelente,SI,1,62,86.7
FB-8129,TRX-10965,2,1,Dañado,SI,No,43,72.4
FB-8130,TRX-15329,1,2,Dañado,Maybe,No,46,-53.8
FB-8131,TRX-12973,2,2,N/A,NO,No,72,2.6
FB-8132,TRX-10445,3,4,No volvería,SI,No,57,16.7
FB-8133,TRX-10958,5,5,Precio justo,SI,No,22,-39.7
FB-8134,TRX-14882,2,3,Lento,NO,No,75,-30.5
FB-8135,TRX-16388,1,4,Precio justo,N/A,Sí,78,95.6
FB-8136,TRX-11617,3,4,Lento,SI,0,39,-72.3
FB-8137,TRX-15243,2,4,N/A,Maybe,1,54,82.3
FB-8138,TRX-12334,2,3,---,NO,No,48,-29.2
FB-8139,TRX-16763,3,4,Excelente,Maybe,1,31,-52.2
FB-8140,TRX-15311,1,1,N/A,SI,0,51,-47.9
FB-8141,TRX-14225,5,1,N/A,SI,0,70,-43.3
FB-8142,TRX-16152,5,1,No volvería,SI,0,38,-42.6
FB-8143,TRX-11981,3,4,Dañado,NO,1,54,-49.2
FB-8144,TRX-10849,4,4,N/A,SI,Sí,41,68.5
FB-8145,TRX-13318,1,5,Precio justo,N/A,No,81,-46.4
FB-8146,TRX-13925,4,2,Precio justo,NO,0,34,72.4
FB-8147,TRX-19781,4,5,Lento,N/A,1,63,93.9
FB-8148,TRX-19601,4,1,---,SI,No,48,-44.2
FB-8149,TRX-13874,1,2,Precio justo,Maybe,No,67,13.0
FB-8150,TRX-18076,99,5,---,Maybe,0,67,-8.8
FB-8151,TRX-18333,4,3,Dañado,NO,1,60,69.3
FB-8152,TRX-18264,3,3,Lento,SI,0,34,-38.3
FB-8153,TRX-16308,2,3,Dañado,NO,0,36,53.0
FB-8154,TRX-11885,3,1,N/A,SI,0,67,-4.9
FB-8155,TRX-14412,2,2,---,N/A,0,79,26.2
FB-8156,TRX-10993,5,1,Lento,N/A,No,44,15.3
FB-8157,TRX-15215,4,3,Dañado,NO,No,57,-87.5
FB-8158,TRX-17615,5,4,Lento,N/A,No,54,17.7
FB-8159,TRX-19062,5,1,No volvería,Maybe,0,33,65.5
FB-8160,TRX-16669,1,2,Precio justo,NO,No,43,-42.3
FB-8161,TRX-11072,4,1,Dañado,N/A,Sí,76,-19.5
FB-8162,TRX-17932,5,2,---,SI,1,82,-59.0
FB-8163,TRX-10473,2,4,Excelente,NO,0,50,-58.1
FB-8164,TRX-16676,2,5,N/A,Maybe,0,51,-38.6
FB-8165,TRX-13829,1,2,No volvería,SI,No,77,50.7
FB-8166,TRX-10305,5,2,No volvería,Maybe,0,68,-3.7
FB-8167,TRX-14409,5,3,N/A,SI,1,81,38.2
FB-8168,TRX-19077,5,3,Dañado,SI,No,38,87.1
FB-8169,TRX-19603,1,4,Dañado,Maybe,1,24,46.1
FB-8170,TRX-11663,4,1,---,SI,Sí,82,-25.4
FB-8171,TRX-14035,5,5,Excelente,NO,1,82,2.1
FB-8172,TRX-19088,5,5,N/A,N/A,No,81,-44.3
FB-8173,TRX-12057,3,4,Dañado,SI,0,35,-86.9
FB-8174,TRX-14990,2,5,N/A,NO,1,78,33.2
FB-8175,TRX-19310,4,1,Excelente,SI,0,33,32.4
FB-8176,TRX-16664,4,3,Dañado,Maybe,Sí,82,71.2
FB-8177,TRX-17306,4,4,Excelente,NO,Sí,78,-68.1
FB-8178,TRX-11374,5,5,Lento,SI,Sí,81,76.9
FB-8179,TRX-18199,3,4,Precio justo,Maybe,Sí,47,58.9
FB-8180,TRX-13333,4,4,Precio justo,SI,0,27,-78.5
FB-8181,TRX-12332,1,2,Dañado,NO,1,46,96.5
FB-8182,TRX-16116,1,2,Dañado,NO,No,39,-92.2
FB-8183,TRX-18854,2,4,---,N/A,0,31,59.0
FB-8184,TRX-12755,3,2,Precio justo,SI,Sí,23,-14.3
FB-8185,TRX-14016,4,5,---,NO,0,61,73.1
FB-8186,TRX-18806,3,4,Precio justo,Maybe,Sí,80,45.7
FB-8187,TRX-16942,1,2,Excelente,NO,1,67,-87.9
FB-8188,TRX-19095,4,5,Excelente,SI,1,78,-52.0
FB-8189,TRX-17401,5,3,Lento,NO,No,37,90.5
FB-8190,TRX-10684,1,3,---,NO,Sí,83,-70.6
FB-8191,TRX-10016,2,4,Lento,N/A,1,32,-86.3
FB-8192,TRX-17612,4,1,Excelente,NO,1,55,-69.1
FB-8193,TRX-14739,2,5,Lento,SI,1,22,44.1
FB-8194,TRX-12742,3,4,No volvería,SI,1,32,-92.1
FB-8195,TRX-10008,2,2,---,NO,No,28,-13.4
FB-8196,TRX-10985,2,3,N/A,NO,0,68,-81.7
FB-8197,TRX-17900,5,2,---,NO,No,50,37.4
FB-8198,TRX-14477,2,5,Excelente,Maybe,1,53,-49.4
FB-8199,TRX-19795,5,4,Lento,SI,0,58,36.9
FB-8200,TRX-14110,2,3,Lento,SI,Sí,195,-64.9
FB-8201,TRX-16228,5,5,Dañado,SI,No,52,-20.8
FB-8202,TRX-15757,1,3,Dañado,SI,0,74,85.1
FB-8203,TRX-13485,5,3,Dañado,Maybe,No,81,-23.2
FB-8204,TRX-19587,1,4,Precio justo,SI,No,50,-77.2
FB-8205,TRX-18361,1,4,N/A,N/A,1,50,-26.0
FB-8206,TRX-14609,4,1,Precio justo,NO,0,35,-9.1
FB-8207,TRX-10745,1,1,Precio justo,SI,Sí,28,-8.3
FB-8208,TRX-12644,4,1,Excelente,NO,0,79,41.8
FB-8209,TRX-18750,5,1,Dañado,SI,0,64,-75.1
FB-8210,TRX-19225,3,2,Dañado,Maybe,1,78,-7.7
FB-8211,TRX-11145,4,1,Excelente,Maybe,0,73,-49.2
FB-8212,TRX-14925,3,2,Precio justo,N/A,Sí,41,-11.1
FB-8213,TRX-11469,5,3,N/A,Maybe,No,82,-65.4
FB-8214,TRX-16476,4,2,Lento,Maybe,1,23,-52.9
FB-8215,TRX-12014,5,3,No volvería,Maybe,1,43,10.6
FB-8216,TRX-12288,3,1,Dañado,SI,0,82,-39.7
FB-8217,TRX-19117,5,2,Precio justo,NO,0,71,-68.1
FB-8218,TRX-14578,3,3,Lento,N/A,No,79,23.9
FB-8219,TRX-17077,1,1,Dañado,NO,0,29,67.3
FB-8220,TRX-13454,3,3,Dañado,N/A,1,41,64.3
FB-8221,TRX-18270,3,4,No volvería,N/A,0,56,66.8
FB-8222,TRX-15215,1,3,Precio justo,SI,1,39,-96.6
FB-8223,TRX-15613,4,1,N/A,NO,Sí,65,37.2
FB-8224,TRX-14282,2,5,Excelente,NO,1,21,99.8
FB-8225,TRX-17417,4,4,Lento,NO,1,46,45.3
FB-8226,TRX-14473,2,2,---,N/A,1,23,-46.8
FB-8227,TRX-14029,1,4,---,N/A,No,64,12.8
FB-8228,TRX-15269,4,1,Lento,N/A,Sí,72,-4.4
FB-8229,TRX-15597,5,3,Precio justo,SI,1,72,-8.2
FB-8230,TRX-13450,5,5,Lento,N/A,0,66,44.5
FB-8231,TRX-17533,4,1,---,SI,0,42,-74.6
FB-8232,TRX-19822,5,3,---,NO,1,62,-76.1
FB-8233,TRX-15381,1,1,Excelente,SI,0,25,1.3
FB-8234,TRX-10260,5,5,---,Maybe,0,28,94.8
FB-8235,TRX-12190,5,3,---,Maybe,No,18,-87.7
FB-8236,TRX-10033,2,5,Lento,NO,Sí,45,-25.9
FB-8237,TRX-19974,2,3,Precio justo,Maybe,0,26,1.8
FB-8238,TRX-17807,3,4,Excelente,N/A,Sí,66,-99.7
FB-8239,TRX-10070,1,1,No volvería,Maybe,0,83,-41.1
FB-8240,TRX-10156,5,2,N/A,SI,1,39,-77.8
FB-8241,TRX-12843,1,2,Precio justo,N/A,1,56,41.1
FB-8242,TRX-16769,1,1,N/A,Maybe,Sí,40,-12.2
FB-8243,TRX-19106,2,2,No volvería,NO,Sí,78,24.5
FB-8244,TRX-18011,5,5,Lento,Maybe,Sí,84,20.5
FB-8245,TRX-16435,3,2,N/A,N/A,Sí,60,-28.4
FB-8246,TRX-18816,4,1,Excelente,Maybe,1,62,-92.9
FB-8247,TRX-11329,3,4,N/A,Maybe,0,58,-46.5
FB-8248,TRX-11270,2,1,Lento,SI,1,36,-3.8
FB-8249,TRX-18825,3,1,Precio justo,SI,Sí,61,-59.5
FB-8250,TRX-10507,2,3,No volvería,SI,No,43,87.5
FB-8251,TRX-17293,2,2,No volvería,Maybe,0,33,-17.3
FB-8252,TRX-12022,1,2,Lento,SI,1,39,-29.6
FB-8253,TRX-15783,5,3,Precio justo,SI,No,23,-78.5
