SKU_ID,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision
PROD-1000,smart-phone,,870.38,259,25-30 días,Norte,2025-11-17
PROD-1001,Accesorios,476.0,1397.26,169,25-30 días,Norte,2024-03-05
PROD-1002,Monitores,1209.0,611.62,214,5,Sur,2024-06-21
PROD-1003,smart-phone,1825.0,145.94,187,10,Sur,2025-01-07
PROD-1004,Smartphones,1713.0,77.78,105,5,Sur,2024-07-04
PROD-1005,???,470.0,1248.94,126,10,ZONA_FRANCA,2025-02-24
PROD-1006,Monitores,1651.0,810.87,181,25-30 días,norte,2025-04-17
PROD-1007,Monitores,966.0,1174.1,187,nan,Norte,2024-07-13
PROD-1008,smart-phone,963.0,389.92,219,10,norte,2025-03-07
PROD-1009,Tablets,66.0,550.37,123,25-30 días,norte,2025-05-18
PROD-1010,Smartphones,1317.0,0.05,201,25-30 días,Sur,2024-12-02
PROD-1011,smart-phone,533.0,1444.16,133,5,norte,2026-01-26
PROD-1012,Smartphones,344.0,1018.41,267,5,Norte,2026-01-26
PROD-1013,Smartphones,1037.0,1403.15,146,nan,Norte,2025-07-25
PROD-1014,???,21.0,434.97,123,Inmediato,BOD-EXT-99,2025-09-06
PROD-1015,Monitores,223.0,936.62,164,3,Occidente,2024-12-23
PROD-1016,Accesorios,1963.0,1033.82,117,Inmediato,ZONA_FRANCA,2025-05-19
PROD-1017,???,1293.0,510.45,143,Inmediato,norte,2024-10-10
PROD-1018,???,287.0,1279.76,175,nan,ZONA_FRANCA,2025-11-03
PROD-1019,Smartphones,1339.0,1423.38,156,10,ZONA_FRANCA,2026-01-22
PROD-1020,LAPTOP,556.0,1333.04,206,nan,ZONA_FRANCA,2025-11-06
PROD-1021,Monitores,115.0,1121.65,255,nan,BOD-EXT-99,2025-09-03
PROD-1022,Tablets,1517.0,452.32,223,25-30 días,ZONA_FRANCA,2024-05-17
PROD-1023,???,1274.0,458.34,298,25-30 días,BOD-EXT-99,2026-01-02
PROD-1024,Accesorios,678.0,1446.87,250,25-30 días,Norte,2025-09-26
PROD-1025,LAPTOP,,64.91,261,3,norte,2025-11-15
PROD-1026,LAPTOP,1993.0,1088.27,238,10,BOD-EXT-99,2024-12-07
PROD-1027,Tablets,51.0,1074.06,262,10,Occidente,2025-12-08
PROD-1028,???,1365.0,952.9,215,25-30 días,ZONA_FRANCA,2024-10-09
PROD-1029,Accesorios,728.0,1485.66,192,Inmediato,Occidente,2025-04-02
PROD-1030,Monitores,163.0,502.23,141,3,Norte,2024-08-04
PROD-1031,Laptops,1061.0,542.96,127,Inmediato,Norte,2025-10-19
PROD-1032,Accesorios,1526.0,164.46,222,5,Sur,2025-08-13
PROD-1033,Tablets,1645.0,692.06,123,10,ZONA_FRANCA,2024-09-20
PROD-1034,LAPTOP,541.0,428.52,235,10,Sur,2026-01-10
PROD-1035,Monitores,1283.0,547.91,205,Inmediato,Occidente,2025-04-20
