Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta
TRX-10000,PROD-3619,25/04/2025,-5,1752.48,,999,Entregado,Bucaramanga,Físico
TRX-10001,PROD-1456,29/07/2025,12,686.88,67.16,29,Entregado,Ventas_Web,WhatsApp
TRX-10002,PROD-1102,31/05/2025,2,402.06,32.55,13,Perdido,MED,Físico
TRX-10003,PROD-2126,23/01/2026,4,665.98,62.64,12,Perdido,Medellín,Online
TRX-10004,PROD-2003,09/10/2025,5,1222.62,52.91,15,Entregado,BOG,App
TRX-10005,PROD-1914,05/11/2025,2,740.61,25.63,29,Retrasado,Medellín,Online
TRX-10006,PROD-1571,20/06/2025,12,1349.06,30.32,23,,Bogotá,Físico
TRX-10007,PROD-1419,18/11/2025,8,481.5,21.21,13,Perdido,Cali,App
TRX-10008,PROD-3771,03/11/2025,1,1404.98,10.38,6,,Medellín,App
TRX-10009,PROD-3233,21/03/2025,3,701.4,63.82,26,,MED,Físico
TRX-10010,PROD-1356,04/04/2025,7,917.18,68.91,14,Entregado,Bogotá,App
TRX-10011,PROD-3418,07/12/2025,10,1119.91,20.77,3,Devuelto,BOG,Físico
TRX-10012,PROD-2728,01/08/2025,1,1375.59,,8,Entregado,Cali,App
TRX-10013,PROD-1130,10/12/2024,13,485.04,63.46,12,Entregado,Barranquilla,Físico
TRX-10014,PROD-1122,21/03/2025,11,1673.53,98.3,14,Devuelto,Ventas_Web,Online
TRX-10015,PROD-1383,27/01/2026,2,1446.47,12.07,5,,Bucaramanga,App
TRX-10016,PROD-1895,04/03/2025,3,475.85,51.59,2,Perdido,Ventas_Web,WhatsApp
TRX-10017,PROD-1952,12/04/2025,14,1950.2,74.64,10,,Ventas_Web,Online
TRX-10018,PROD-3069,06/10/2024,14,1332.95,9.37,3,Devuelto,Cali,WhatsApp
TRX-10019,PROD-3465,04/09/2025,2,910.33,78.94,23,Perdido,Medellín,Online
TRX-10020,PROD-1108,26/05/2025,2,323.48,98.05,10,Retrasado,Bogotá,Online
TRX-10021,PROD-3298,06/10/2024,12,1071.11,13.41,9,Perdido,BOG,Online
TRX-10022,PROD-1814,30/12/2024,11,337.9,83.11,17,En Camino,Bogotá,WhatsApp
TRX-10023,PROD-3932,25/10/2024,6,864.69,40.97,28,Perdido,Ventas_Web,Online
TRX-10024,PROD-3661,02/12/2025,7,823.34,,6,En Camino,Ventas_Web,App
TRX-10025,PROD-3872,06/06/2025,6,1442.68,18.69,27,Perdido,Barranquilla,App
TRX-10026,PROD-3232,26/10/2024,11,392.84,51.85,9,Devuelto,Bogotá,App
TRX-10027,PROD-2718,11/10/2024,6,1645.52,11.79,23,Perdido,Medellín,Online
TRX-10028,PROD-1902,21/02/2025,9,659.0,54.6,3,Entregado,Cali,Físico
TRX-10029,PROD-2839,25/01/2026,8,893.54,6.84,7,Perdido,Ventas_Web,Físico
TRX-10030,PROD-3413,09/06/2025,14,1546.96,74.22,12,Devuelto,Barranquilla,App
TRX-10031,PROD-2139,05/03/2025,8,1254.53,51.36,18,Devuelto,Bucaramanga,Online
TRX-10032,PROD-1026,08/12/2024,6,622.97,48.6,10,Perdido,BOG,WhatsApp
TRX-10033,PROD-1653,02/08/2025,5,778.54,23.64,2,Perdido,Bucaramanga,WhatsApp
TRX-10034,PROD-3859,12/11/2025,9,618.52,39.32,17,Perdido,Medellín,App
TRX-10035,PROD-2731,06/02/2025,12,1193.59,22.28,3,,Barranquilla,Online
TRX-10036,PROD-2393,16/09/2025,2,671.92,,1,,Barranquilla,WhatsApp
TRX-10037,PROD-2138,18/04/2025,7,1454.14,74.86,8,Retrasado,Medellín,WhatsApp
TRX-10038,PROD-1636,22/05/2025,6,1163.78,23.91,13,En Camino,MED,WhatsApp
TRX-10039,PROD-1881,28/11/2024,7,299.96,63.59,11,Perdido,Barranquilla,Físico
TRX-10040,PROD-2378,16/01/2025,12,627.43,31.56,8,Perdido,BOG,Físico
TRX-10041,PROD-1418,31/10/2025,4,450.68,67.41,20,En Camino,Ventas_Web,WhatsApp
TRX-10042,PROD-1379,12/04/2025,9,786.72,56.34,1,Entregado,Bogotá,Online
TRX-10043,PROD-2556,03/10/2025,7,1036.81,45.23,2,Retrasado,Bogotá,WhatsApp
TRX-10044,PROD-1396,30/05/2025,2,1018.46,68.94,18,Retrasado,Medellín,WhatsApp
TRX-10045,PROD-2470,12/12/2025,13,1511.5,44.49,18,Entregado,Medellín,Físico
TRX-10046,PROD-2408,08/12/2025,4,386.45,83.03,9,En Camino,Bogotá,Online
TRX-10047,PROD-3472,27/06/2025,5,1893.48,74.31,7,En Camino,Cali,App
TRX-10048,PROD-2083,12/01/2025,2,692.26,,9,Devuelto,Medellín,Online
TRX-10049,PROD-1177,17/12/2025,10,607.5,56.36,10,En Camino,Bogotá,Online
TRX-10050,PROD-3988,19/08/2025,8,1373.51,88.32,26,,Cali,Físico
TRX-10051,PROD-2881,08/01/2026,1,1612.98,83.74,2,Retrasado,Cali,Online
TRX-10052,PROD-3196,14/05/2025,3,763.16,55.52,5,,MED,Físico
TRX-10053,PROD-1511,17/03/2025,14,1496.23,11.5,17,Devuelto,Bogotá,Online
TRX-10054,PROD-2550,19/10/2025,1,1768.63,58.77,2,Perdido,BOG,Físico
TRX-10055,PROD-1322,23/12/2025,5,1535.94,38.75,20,Perdido,BOG,Online
TRX-10056,PROD-3261,12/02/2025,8,78.05,56.31,10,Perdido,MED,Online
TRX-10057,PROD-2200,24/10/2024,7,1656.46,66.48,1,Devuelto,Bogotá,Online
TRX-10058,PROD-3574,22/03/2025,9,1551.22,66.26,12,Retrasado,Barranquilla,Online
TRX-10059,PROD-3533,28/11/2024,2,1341.89,68.98,24,En Camino,Cali,App
TRX-10060,PROD-2481,26/09/2024,12,1522.44,,15,Devuelto,Bucaramanga,App
TRX-10061,PROD-3364,05/07/2025,8,1959.06,69.53,6,Retrasado,Barranquilla,Físico
TRX-10062,PROD-1787,18/06/2025,8,867.91,15.38,14,En Camino,Barranquilla,App
TRX-10063,PROD-3885,16/05/2025,14,143.77,23.21,14,Entregado,Cali,WhatsApp
TRX-10064,PROD-1284,26/06/2025,6,927.17,64.9,15,Retrasado,BOG,App
TRX-10065,PROD-1187,02/11/2024,3,102.4,43.78,1,,Ventas_Web,Físico
TRX-10066,PROD-3708,21/01/2025,2,595.56,77.47,25,,Cali,WhatsApp
TRX-10067,PROD-1933,29/01/2026,14,1177.89,16.87,17,Entregado,Cali,App
TRX-10068,PROD-2185,24/06/2025,8,626.15,23.19,11,Perdido,Medellín,WhatsApp
TRX-10069,PROD-1326,11/05/2025,6,1373.94,58.05,15,Perdido,Bogotá,WhatsApp
TRX-10070,PROD-1953,23/07/2025,4,1645.75,52.57,20,Retrasado,Ventas_Web,WhatsApp
TRX-10071,PROD-1413,17/12/2024,5,846.67,30.31,16,,BOG,Físico
TRX-10072,PROD-2556,24/11/2024,5,1801.27,,21,Entregado,MED,App
TRX-10073,PROD-2138,31/10/2025,13,168.88,43.79,29,Devuelto,Bogotá,Físico
TRX-10074,PROD-2857,02/04/2025,9,1681.83,8.32,27,En Camino,Bogotá,Físico
TRX-10075,PROD-3603,12/07/2025,13,1658.86,8.52,9,Perdido,Cali,App
TRX-10076,PROD-2494,23/10/2024,13,650.77,14.02,29,Perdido,Ventas_Web,Físico
TRX-10077,PROD-1666,18/08/2025,9,604.44,59.8,12,Perdido,Barranquilla,Online
TRX-10078,PROD-2516,15/02/2025,8,617.14,87.05,2,Perdido,Cali,App
TRX-10079,PROD-2455,07/01/2025,8,1624.67,29.72,15,,Cali,Online
TRX-10080,PROD-1858,16/09/2025,12,1664.99,8.22,28,Retrasado,Ventas_Web,App
TRX-10081,PROD-3745,10/01/2025,2,666.15,72.32,9,,Ventas_Web,App
TRX-10082,PROD-2093,25/06/2025,14,1189.25,86.26,28,Retrasado,Barranquilla,Físico
TRX-10083,PROD-3874,20/04/2025,3,286.48,18.13,16,Entregado,Bucaramanga,Físico
TRX-10084,PROD-3799,08/02/2025,14,942.87,,17,Devuelto,MED,Físico
TRX-10085,PROD-3654,17/12/2024,8,1997.6,41.65,20,Entregado,Medellín,WhatsApp
TRX-10086,PROD-1292,05/11/2024,13,326.09,20.08,27,,Bucaramanga,App
TRX-10087,PROD-3495,13/12/2024,5,1895.65,15.1,23,,Cali,WhatsApp
TRX-10088,PROD-3600,25/11/2024,7,1650.27,66.58,4,Devuelto,Bogotá,Físico
TRX-10089,PROD-1700,05/10/2025,14,1944.71,96.92,8,Retrasado,Bogotá,Online
TRX-10090,PROD-3187,14/11/2025,8,367.36,69.43,7,Perdido,Barranquilla,Online
TRX-10091,PROD-3986,31/08/2025,6,434.9,98.56,6,Entregado,Cali,App
TRX-10092,PROD-2002,09/08/2025,5,43.57,46.27,5,Devuelto,BOG,WhatsApp
TRX-10093,PROD-1669,16/11/2024,8,1452.16,90.3,10,En Camino,Barranquilla,App
